@lat,@lon,official_name,name,ref:CIS_JR,ref,bus,public_transport,@count,@id,local_ref
49.0183339,13.5794727,,Kvilda,,,yes,stop_position,,28306549,
48.9955202,13.6546463,,"""Borová Lada, Svinná Lada""",,,yes,stop_position,,28306608,
48.9469929,13.7151380,,Polka,,,,,,28306658,
48.9508854,14.8687857,,,,,,,,30270266,
49.0146740,14.7555568,,,,,yes,platform,,30589346,
49.5453220,14.8433080,"""Běleč, Elbančice, rozc. 1.0""","""Běleč, Elbančice, rozcestí 1.0""",,,yes,platform,,60283151,B
49.5652050,14.8242590,,Šebířov,,,yes,platform,,60283916,1
49.5651425,14.8231136,,Šebířov,,,yes,platform,,60283931,
49.5825000,14.8574990,,"""Vilice, Hrnčíře""",,,yes,platform,,60284463,A
49.4056976,14.7745079,,"""Nová Ves u Chýnova, rozc.2.0""",,,yes,platform,,60684332,
49.5837400,14.7496400,,"""Slapsko, Leština, rozc. 0.5""",,,yes,platform,,73317635,2
49.5137271,14.5925864,"""Borotín, Kamenná Lhota, rozc. 1.0""","""Borotín, Kamenná Lhota, rozcestí 1.0""",,,yes,platform,,73352984,A
49.5123022,14.5260476,,"""Jistebnice, Chlum""",,,,,,73447312,
49.3094088,14.1318716,,"""Písek, Václavské náměstí""",,,yes,stop_position,,74154239,
48.7795674,14.7699912,,,,,yes,platform,,74163032,
49.4952430,14.4949500,,"""Jistebnice, Hodkov""",,,yes,platform,,74201747,B
48.9509776,14.9154284,,Hamr,,,yes,platform,,74208924,
49.0052063,14.5627784,,,,,yes,platform,,74215814,
48.8009426,14.7929958,,,,,yes,platform,,74252913,
48.9713053,13.5969266,,,,,yes,stop_position,,75048782,
49.4260737,14.6774223,,"""Tábor, Čekanice, rozc.""",,,yes,stop_position,,156177499,
49.4091918,14.6574307,,"""Tábor, Čelkovice, MŠ""",51333,,yes,platform,,156251101,
49.4055973,14.7145280,,"""Tábor, Měšice, točna""",51341,,yes,platform,,156792142,
49.4152319,14.6601558,"""Tábor, Tržní nám.""","""Tábor, Tržní náměstí""",57646,,yes,platform,,165983142,
49.1727834,15.0281825,,Horní Skrýchov,,,yes,platform,,192859888,
49.4723866,14.6775658,,"""Chotoviny, Červené Záhoří""",,,yes,platform,,250582239,
49.4778450,14.6770771,,Chotoviny,,,yes,platform,,250586893,
49.4943245,14.6810662,"""Chotoviny, Sedléčko""",Sedlečko,11882,,yes,platform,,250587481,
49.4814146,14.6058589,,"""Borotín, Starý Kostelec""",,,yes,platform,,250684534,
49.4858778,14.6098044,,"""Borotín, Nový Kostelec""",,,yes,platform,,250684635,
49.4879161,14.6111548,,"""Borotín, Nový Kostelec, točna""",,,yes,platform,,250684646,
49.4946205,14.6036348,,"""Borotín, Pikov, rozc.1.0""",,,yes,platform,,250684677,
49.3819911,14.6392286,,"""Radimovice u Želče, rozc.0.5""",,,yes,platform,,250694530,
49.3801010,14.6425451,,"""Radimovice u Želče, U vysílače""",58362,,yes,platform,,250698839,
49.4747390,14.5597310,,"""Jistebnice, Makov, Pazderna""",,,yes,platform,,251689460,B
49.4855752,14.5756162,,"""Jistebnice, Podol, rozc.0.5""",,,,,,251690884,
49.4204731,14.6416443,,"""Tábor, Klokoty, točna""",51347,,yes,platform,,251693182,
49.4189275,14.6459719,,"""Tábor, Klokoty""",35323,,yes,platform,,251693183,
49.4193798,14.6437523,,"""Tábor, Klokoty""",35323,,yes,platform,,251694586,
49.4194747,14.6497589,"""Tábor, nem.""","""Tábor, nemocnice""",35331,,yes,platform,,251694587,
49.4196470,14.6527481,"""Tábor, nem.""","""Tábor, nemocnice""",35331,,yes,platform,,251694588,
49.4182448,14.6522571,"""Tábor, nem. hl. vchod""","""Tábor, nemocnice hlavní vchod""",51345,,yes,platform,,251694589,
49.4195998,14.6605116,"""Tábor, Písecké rozc.""","""Tábor, Písecké rozcestí""",35335,,yes,platform,,251694591,
49.4172613,14.6627173,"""Tábor, Nový Ráj""","""Tábor, Nový ráj""",35332,,yes,platform,,251694592,
49.4223200,14.6594283,,"""Tábor, Náchodské sídliště""",35330,,yes,platform,,251694778,
49.4136421,14.6633054,,"""Tábor, U Reálky""",51351,,yes,platform,,251695800,
49.4126551,14.6647346,"""Tábor, Křižíkovo nám.""","""Tábor, Křižíkovo náměstí""",35325,,yes,platform,,251695801,
49.4125249,14.6625339,,Na parkánech,,,yes,platform,,251697910,
49.4110071,14.6549653,,"""Tábor, Kotnov""",35324,,yes,platform,,251697911,
49.4108208,14.6556484,,"""Tábor, Kotnov""",35324,,yes,platform,,251697916,
49.4089849,14.6518021,,"""Tábor, Švehlův most""",51350,,yes,platform,,251699382,
49.4085424,14.6508686,,"""Tábor, Švehlův most""",51350,,yes,platform,,251699386,
49.4041812,14.6488994,,"""Tábor, Pintovka""",51334,,yes,platform,,251699389,
49.4041847,14.6491163,,"""Tábor, Pintovka""",51334,,yes,platform,,251699392,
49.4000816,14.6414470,,"""Tábor, Horky""",35320,,yes,platform,,251699395,
49.4001174,14.6417464,,"""Tábor, Horky""",35320,,yes,platform,,251699398,
49.4849176,14.5468974,,"""Jistebnice, Tisová""",,,,,,251727336,
49.4934431,14.5648571,,"""Jistebnice, Orlov""",,,,,,251727370,
49.4819716,14.5289557,,"""Jistebnice, sídliště""",,,yes,platform,,251734166,
49.4638035,14.5087323,,"""Jistebnice, Drahnětice""",,,,,,251734255,
49.4675387,14.5611016,"""Jistebnice, Vlásenice, Makov rozc. 1.5""","""Jistebnice, Vlásenice, Makov rozcestí 1.5""",,,yes,platform,,251736579,
49.4523422,14.5253148,,"""Jistebnice, Padařov""",,,,,,251743951,
49.4312762,14.5047549,,"""Opařany, Nové Dvory, rozc.0.5""",,,yes,platform,,251763969,
49.4112816,14.6706336,,"""Tábor, poliklinika""",35334,,yes,platform,,252552643,
49.4113703,14.6706723,,"""Tábor, poliklinika""",35334,,yes,platform,,252552644,
49.4137198,14.6749484,"""Tábor, aut. nádr.""","""Tábor, autobusové nádraží""",35313,,yes,platform,,252552645,MHD
49.4139244,14.6753322,"""Tábor, aut. nádr.""","""Tábor, autobusové nádraží""",35313,,yes,platform,,252552646,MHD
49.4102964,14.6819814,,"""Tábor, Černé mosty""",35318,,yes,platform,,252552654,
49.4104989,14.6819993,,"""Tábor, Černé mosty""",35318,,yes,platform,,252552656,
49.4042966,14.6851115,,"""Tábor, Na Kopečku""",35339,,yes,platform,,252556293,
49.4040740,14.6853982,,"""Tábor, Na Kopečku""",35339,,yes,platform,,252556294,
49.4002726,14.6866452,,"""Tábor, Nový hřbitov""",51346,,yes,platform,,252556295,
49.4007090,14.6889615,,"""Tábor, Nový hřbitov""",51346,,yes,platform,,252556296,
49.4792481,14.6807423,,"""Chotoviny, zámek""",,,yes,platform,,252733249,
49.4780465,14.6805555,,"""Chotoviny, U Jánů""",,,yes,platform,,252845731,
49.5078658,14.5685938,,"""Jistebnice, Smrkov""",,,,,,253848836,
49.3733386,14.7571256,,"""Planá nad Lužnicí, Turovec, ZP""",,,yes,platform,,254292516,
49.3769732,14.7679742,,Turovec,,,yes,platform,,254292530,
49.5214634,14.5221872,,"""Jistebnice, Alenina Lhota, rozc.1.0""",,,,,,257799472,
49.4327700,14.6578769,,"""Tábor, Náchod, SDK""",35329,,yes,platform,,269128933,
49.3958546,14.6430344,"""Tábor, Horky, žel. zast.""","""Tábor, Horky, železniční zastávka""",35321,,yes,platform,,269131823,
49.3958950,14.6431841,"""Tábor, Horky, žel. zast.""","""Tábor, Horky, železniční zastávka""",35321,,yes,platform,,269131824,
49.3907317,14.6419524,,"""Tábor, Větrovy""",35340,,yes,platform,,269131825,
49.3291639,14.1146047,,"""Písek, Dobešice""",,,yes,stop_position,,274834040,
49.4116405,14.6840669,,"""Tábor, Zavadilská""",35344,,yes,platform,,275384159,
49.4119228,14.6842866,,"""Tábor, Zavadilská""",35344,,yes,platform,,275384161,
48.7571471,14.0134328,,"""Horní Planá, Bližší Lhota""",,,yes,stop_position,,276282592,
49.4142293,14.6822002,,"""Tábor, Na Kouřimově""",51343,,yes,platform,,277059280,
49.4141769,14.6824028,,"""Tábor, Na Kouřimově""",51343,,yes,platform,,277059281,
49.4182006,14.6759256,,"""Tábor, Blanické předm.""",51326,,yes,platform,,277059282,
