lat;lon;ref:CIS_JR;district;official_name;local_ref;typ
49.4310866982976;13.8737969178562;1500;ST;Blatná,,žel.st.;;bus;1
49.4306405620185;13.87283041078;1500;ST;Blatná,,žel.st.;;bus;1
49.430576724324;13.8726998813042;1500;ST;Blatná,,žel.st.;;bus;1
49.0203673646541;15.1042556884351;23499;JH;Nová Bystřice,,aut.nádr.;1;bus;1
49.0203626754076;15.1045970427797;23499;JH;Nová Bystřice,,aut.nádr.;2;bus;1
49.020423228779;15.1046017925203;23499;JH;Nová Bystřice,,aut.nádr.;3;bus;1
49.0204847544169;15.1046063856662;23499;JH;Nová Bystřice,,aut.nádr.;4;bus;1
49.0205487088073;15.1046025236015;23499;JH;Nová Bystřice,,aut.nádr.;5;bus;1
48.9985100475552;15.3535385713118;32043;JH;Slavonice,,aut.nádr.;;bus;1
48.9984768584678;15.3536083222189;32043;JH;Slavonice,,aut.nádr.;;bus;1
48.9984487580593;15.3536842699964;32043;JH;Slavonice,,aut.nádr.;;bus;1
48.9984213217451;15.3537477716354;32043;JH;Slavonice,,aut.nádr.;;bus;1
48.998381907194;15.3537987130114;32043;JH;Slavonice,,aut.nádr.;;bus;1
49.153812929826;15.0052940988397;13402;JH;Jindřichův Hradec,,aut.nádr.;20;bus;1
49.1538644114339;15.0050573814224;13402;JH;Jindřichův Hradec,,aut.nádr.;19;bus;1
49.1539124487455;15.0048130096652;13402;JH;Jindřichův Hradec,,aut.nádr.;18;bus;1
49.1539587011369;15.0045821883098;13402;JH;Jindřichův Hradec,,aut.nádr.;17;bus;1
49.1540092047865;15.0043362066561;13402;JH;Jindřichův Hradec,,aut.nádr.;16;bus;1
49.1542449858014;15.0042988349667;13402;JH;Jindřichův Hradec,,aut.nádr.;6;bus;1
49.1541094397968;15.0043953846202;13402;JH;Jindřichův Hradec,,aut.nádr.;11;bus;1
49.1540626814047;15.0046277585254;13402;JH;Jindřichův Hradec,,aut.nádr.;12;bus;1
49.1541822693495;15.0045946486867;13402;JH;Jindřichův Hradec,,aut.nádr.;7;bus;1
49.1541386263521;15.0048115344898;13402;JH;Jindřichův Hradec,,aut.nádr.;8;bus;1
49.1540156733401;15.0048636732883;13402;JH;Jindřichův Hradec,,aut.nádr.;13;bus;1
49.1540920652223;15.0050528686382;13402;JH;Jindřichův Hradec,,aut.nádr.;9;bus;1
49.1540387861111;15.005308624718;13402;JH;Jindřichův Hradec,,aut.nádr.;10;bus;1
49.1539202907478;15.0053550506955;13402;JH;Jindřichův Hradec,,aut.nádr.;15;bus;1
48.9779292960502;14.4698316264805;4882;CB;České Budějovice,,U Zelené ratolesti;;bus;1
48.9780668088621;14.4699637475851;4882;CB;České Budějovice,,U Zelené ratolesti;;bus;1
48.9780239010978;14.4695884446794;4882;CB;České Budějovice,,U Zelené ratolesti;;bus;1
49.0080732593944;14.7649818549898;36731;JH;Třeboň,,aut.nádr.;4;bus;1
49.007953050467;14.7651497129385;36731;JH;Třeboň,,aut.nádr.;5;bus;1
49.0078343028277;14.7653252600656;36731;JH;Třeboň,,aut.nádr.;6;bus;1
48.8391955660887;14.6368635127797;36260;CB;Trhové Sviny,,aut.nádr.;6;bus;1
48.8391506749589;14.6371129618266;36260;CB;Trhové Sviny,,aut.nádr.;5;bus;1
