elemnt;id;official_name;ref:CIS_JR;lat;lon;local_ref
node;5194568304;Jindřichův Hradec,,sídl.Vajgar-trojstředisko;;49.1390569;15.0190877;
node;5194613966;Jindřichův Hradec,,sídl.Vajgar-trojstředisko;;49.1392113;15.0201136;
node;5197761683;Jindřichův Hradec,,U cihelny;;49.1443361;15.0251008;
node;9174048194;Jindřichův Hradec,,U cihelny;;49.1447478;15.0276842;
node;3248441992;Jindřichův Hradec,,Zborovská;;49.1383683;15.0081563;
node;9174048345;Jindřichův Hradec,,Zborovská;;49.1382172;15.0082184;
node;6224789018;Jindřichův Hradec,Otín,vilky;;49.1407885;15.0393211;
node;8809000587;Jindřichův Hradec,Otín,vilky;;49.1404706;15.0401585;
node;5424845885;Jindřichův Hradec,Radouňka;13427;49.1636608;15.0018954;
node;5548331161;Komařice,Pašinovice;54404;48.8745167;14.5306119;
node;6980167437;Nasavrky;58361;49.4517899;14.6405147;
node;9729270167;Planá n.Luž.,,Nad Hejtmanem Lipová alej;;49.3405490;14.7214806;
node;9729270162;Planá n.Luž.,,Okružní bytovky;;49.3428884;14.7174324;
node;766751365;Planá n.Luž.,,Okružní bytovky;;49.3424923;14.7165720;
node;9969151976;Planá n.Luž.,,Strkovská;;49.3480729;14.7105722;
node;3742898330;Planá n.Luž.,,Strkovská;;49.3479161;14.7106638;
node;3646789800;Planá n.Luž.,,U řadovek;;49.3576199;14.6998084;
node;3646789801;Planá n.Luž.,,U řadovek;;49.3589593;14.7002728;
node;3742898329;Planá n.Luž.,,Za mostem;;49.3540250;14.6989806;
node;6980167648;Balkova Lhota,,Černý Les;63056;49.4535131;14.5915744;
node;6980167647;Balkova Lhota,,Černý Les;63056;49.4533731;14.5916341;
node;7377468655;Dolní Dvořiště,,st.hr.;6487;48.6506610;14.4526338;
node;9174048229;Jindřichův Hradec,,Jarošovská;;49.1535767;15.0131779;
node;5171752313;Jindřichův Hradec,,Jarošovská;;49.1529643;15.0126836;
node;9174048193;Jindřichův Hradec,,Jiráskovo předměstí;;49.1315442;15.0142555;
node;9174048191;Jindřichův Hradec,,Jiráskovo předměstí;;49.1311375;15.0136980;
node;3248441983;Jindřichův Hradec,,Jitka Bobelovka;;49.1475295;15.0364013;
node;9174048184;Jindřichův Hradec,,Na Palici;;49.1425208;14.9939092;
node;9174048182;Jindřichův Hradec,,Na Palici;;49.1427485;14.9937413;
node;1448497449;Jindřichův Hradec,,nám.Masarykovo;;49.1461037;15.0032185;
node;1448497447;Jindřichův Hradec,,nám.Masarykovo;;49.1460577;15.0040681;
node;6029940485;Jindřichův Hradec,,nemocnice hlavní brána;;49.1396800;15.0067432;
node;9174048344;Jindřichův Hradec,,nemocnice hlavní brána;;49.1395212;15.0068050;
node;9174048197;Jindřichův Hradec,,nemocnice LDN;;49.1384628;15.0043825;
node;5184450362;Jindřichův Hradec,,nemocnice LDN;;49.1388872;15.0027080;
node;9174048346;Jindřichův Hradec,,obchodní zóna;;49.1334180;15.0106310;
node;9174048347;Jindřichův Hradec,,obchodní zóna;;49.1330830;15.0096136;
node;9174048222;Jindřichův Hradec,,Oděva;;49.1481956;15.0017341;
node;9174048196;Jindřichův Hradec,,poliklinika;;49.1403239;15.0021023;
node;9174048195;Jindřichův Hradec,,poliklinika;;49.1396544;15.0023235;
node;9174048200;Jindřichův Hradec,,Pražská;;49.1514845;14.9963182;
node;9174048201;Jindřichův Hradec,,Pražská;;49.1511613;14.9965680;
node;5168668457;Jindřichův Hradec,,sídl. U nádraží;;49.1503347;15.0078996;
node;5168666913;Jindřichův Hradec,,sídl. U nádraží;;49.1506819;15.0089336;
node;4496749989;Tábor,Klokoty,Klášter;64938;49.4160822;14.6435101;
node;10741509937;Tábor,Klokoty,Klášter;;49.4159552;14.6433139;
node;10689847272;Blatná,,žel.st.;1500;49.4306483;13.8728463;
node;6657981018;Blatná,,žel.st.;1500;49.4305633;13.8726972;
node;6657981019;Blatná,,žel.st.;1500;49.4309845;13.8736134;
node;10689847275;Blatná,,žel.st.;1500;49.4305687;13.8730373;
node;9595873670;Přechovice,,rozc.0.1;;49.1801117;13.8931394;
node;6329597168;Sedlice,,škola;31202;49.3738226;13.9419929;
node;6329597155;Sedlice,,nám.;31197;49.3785210;13.9365358;
node;6329597156;Sedlice,,nám.;31197;49.3783266;13.9366435;
node;5514480151;Předotice,,u mostu;56825;49.3652760;14.0557328;
node;5514480152;Předotice,,u mostu;56825;49.3653563;14.0557261;
node;2446920528;Číměř;5206;49.0609601;15.0731198;
node;2446920535;Číměř;5206;49.0611244;15.0723128;
node;1834591855;Nová Bystřice,Nový Vojířov;23513;49.0246003;15.0504542;
node;2422237167;Člunek,Lomy;5312;49.1131532;15.1567793;
node;5422880688;Nová Bystřice,Senotín;23514;49.0641424;15.1453084;
node;2408841710;Nová Bystřice,Blato,rozc.0.6;23507;49.0458541;15.1627056;
node;8600244838;Nová Bystřice,Klenová;23511;49.0577586;15.1693029;
node;5422889448;Staré Město p.Land.,Podlesí;32984;49.0045566;15.2390003;
node;688975354;Staré Město p.Land.,,nám.;58546;49.0038507;15.2534373;
node;1347747860;Český Rudolec,Stoječín,rozc.0.1;5003;49.0445011;15.3040801;
node;7880597517;Strakonice,,aut.nádr.;33240;49.2554515;13.9166766;
node;7880597518;Strakonice,,aut.nádr.;33240;49.2555063;13.9166584;
node;7880597519;Strakonice,,aut.nádr.;33240;49.2555600;13.9166353;
node;7880597520;Strakonice,,aut.nádr.;33240;49.2556160;13.9166125;
node;7880597521;Strakonice,,aut.nádr.;33240;49.2556700;13.9165880;
node;7880597522;Strakonice,,aut.nádr.;33240;49.2557277;13.9165648;5
node;7880597523;Strakonice,,aut.nádr.;33240;49.2557816;13.9165411;
node;7880597524;Strakonice,,aut.nádr.;33240;49.2558358;13.9165189;
node;7880597525;Strakonice,,aut.nádr.;33240;49.2558915;13.9164951;
node;7880597526;Strakonice,,aut.nádr.;33240;49.2559461;13.9164724;
node;8446473550;Strakonice,,aut.nádr.;;49.2563348;13.9163255;
node;775992813;Jindřichův Hradec,Dolní Skrýchov;13447;49.1619580;15.0142409;
node;3248441994;Jindřichův Hradec,,kasárna;;49.1385980;15.0089672;
